"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000005020",833,781,715,556,637,827,769,904
"ENSG00000005022",1340,1059,1323,785,1294,1450,922,974
"ENSG00000005059",215,197,249,177,193,204,211,236
"ENSG00000005073",1,0,1,0,1,1,0,0
"ENSG00000005075",797,828,1010,529,980,1265,678,682
"ENSG00000005100",434,445,487,356,522,695,379,628
"ENSG00000005102",1,0,0,0,3,0,0,0
"ENSG00000005108",9,7,6,8,9,20,12,15
"ENSG00000005156",229,143,242,93,347,409,182,126
"ENSG00000005175",347,294,237,123,513,449,345,298
"ENSG00000005187",4,6,12,10,9,10,12,6
"ENSG00000005189",82,62,88,58,92,53,93,71
"ENSG00000005194",413,410,557,352,537,685,355,428
"ENSG00000005206",680,586,760,418,748,1049,583,632
"ENSG00000005238",805,627,850,396,989,957,596,621
"ENSG00000005243",1132,928,1332,755,990,1088,1038,940
"ENSG00000005249",220,242,281,317,291,387,209,413
"ENSG00000005302",481,523,495,316,496,687,404,379
"ENSG00000005339",2639,1917,3135,1491,3225,3957,2378,2557
"ENSG00000005379",186,152,122,87,171,311,118,130
"ENSG00000005381",4,10,9,1,0,3,6,3
"ENSG00000005421",0,0,0,0,1,0,0,0
"ENSG00000005436",214,216,282,182,318,422,238,252
"ENSG00000005448",229,206,270,152,234,432,166,247
"ENSG00000005469",498,379,305,171,626,508,515,472
"ENSG00000005471",64,18,60,17,21,18,52,22
